Name,Possible Other Name,Associated School,School Address,State,Start Date,End Date,Currently Operating,BSDC_Housing,BSDC_Education,BSDC_Federal_Support,BSDC_Timeframe,ST_Government,ST_Tribal,ST_Boarding_School,ST_Day_School,ST_Contract,ST_Mission,ST_Sanatorium,ST_Dormitory,ST_Training,ST_Jail,ST_Reservation,ST_Nonreservation,ST_College,ST_Residential,ST_Grant,ST_Health,ST_Industrial_Shool,ST_Farm,ST_Orphanage,ST_Seminary,ST_State,ST_Normal,ST_Vocational,ST_Independent,ST_Private
Navajo Faith Mission,"Navajo Mission Boarding, Aneth (Navaho Mission)",,"Aneth, Utah",UT,1899,1919,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Navajo Jewett Mission School,"Navajo Methodist Mission School, Navajo Presbyterian Mission School, Liberty (Jewett), Liberty Indians Boarding School, Navaho Mission School",Navajo Farmington Methodist Mission School,"Waterflow, New Mexico",NM,1899,1915,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
"Navajo Mountain Boarding and Day School, AZ","Navajo Mountain Community School, Naa Tsis’Aan Community School*","Navajo Mountain Day School, UT","Tonalea, Arizona",AZ,1935,,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nazareth Institute,"Nazareth College, Nazareth Institute and Academy for Girls",,"Muskogee, Oklahoma",OK,1896,1932,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nazlini Boarding School,"Nazlini Community School, Inc.",,"Golden Valley, Arizona",AZ,1952,,"Tribally-Controlled, BIE school",Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Neah Bay Boarding and Day School,"Neah Bay Industrial Boarding School, Neah Bay Training School",,"Neah Bay, Washington",WA,1868,1933,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nenahnezad Boarding School,"Nenah-Nezad School, Nenannezed School, Fruitland Day School, Nenahnezad Community School",,"Fruitland, New Mexico",NM,1937,,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nett Lake Boarding and Day School,,,"Nett Lake, Minnesota",MN,1907,1931,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
New L'Arbre Croche Mission School,"Holy Childhood of Jesus Catholic Church and Indian School, Holy Child Harbor Springs Boarding School, Holy Childhood of Jesus Church",,"Harbor Springs (L'Abre Croche), Michigan",MI,1829,1983,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nez Perce Boarding School,,,"Lapwai, Idaho",ID,1868,1893,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Norwalk Academy for Boys,"Norwalk Academy, Norwalk School, Norwalk Boarding School",,"Fort Coffee, Oklahoma",OK,1846,1862,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
