Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
119,352,347,New Mexico Superintendency,Pueblos,,,1866,6743,439664 (A),NA,NA,NA,NA,NA,,NA,NA,,,
120,352,347,New Mexico Superintendency,Capote Utes,,,1866,1000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
121,352,347,New Mexico Superintendency,Wamenuche Utes,,,1866,1500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
122,NA,347,New Mexico Superintendency,Mescalero Apaches,,,1866,335,NA,NA,NA,NA,NA,NA,,NA,NA,,,
123,352,347,Colorado Superintendency ,Tabequache Utes,,,1866,4500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
124,352,347,Colorado Superintendency ,Grand River and Uintah Utes,,,1866,2500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
125,352,347,Dakota Superintendency ,Lower Brules Sioux,,,1866,1200,NA,NA,NA,NA,NA,NA,,NA,NA,,,
126,352,347,Dakota Superintendency ,Lower Yanktonais Sioux ,,,1866,2100,NA,NA,NA,NA,NA,NA,,NA,NA,,,
127,352,347,Dakota Superintendency ,Two Kettle Sioux,,,1866,1200,NA,NA,NA,NA,NA,NA,,NA,NA,,,
128,NA,347,Dakota Superintendency ,Blackfeet Sioux,,,1866,1320,NA,NA,NA,NA,NA,NA,,NA,NA,,,
129,NA,347,Dakota Superintendency ,Minneconjon Sioux,,,1866,2220,NA,NA,NA,NA,NA,NA,,NA,NA,,,
130,NA,347,Dakota Superintendency ,Oncpapas,,,1866,1800,NA,NA,NA,NA,NA,NA,,NA,NA,,,
131,NA,347,Dakota Superintendency ,Ogalallahs,,,1866,2100,NA,NA,NA,NA,NA,NA,,NA,NA,,,
132,NA,347,Dakota Superintendency ,Upper Yanktonais,,,1866,2400,NA,NA,NA,NA,NA,NA,,NA,NA,,,
133,NA,347,Dakota Superintendency ,Sans Arcs,,,1866,1680,NA,NA,NA,NA,NA,NA,,NA,NA,,,
134,352,347,Dakota Superintendency ,Poncas,,,1866,980,NA,NA,NA,NA,NA,NA,,NA,NA,,,
135,352,347,Dakota Superintendency ,Yanktons,,,1866,2530,NA,NA,NA,NA,NA,NA,,NA,NA,,,
136,352,347,Dakota Superintendency ,Arickarees ,,,1866,1500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
137,NA,347,Dakota Superintendency ,Gros Ventres,,,1866,400,NA,NA,NA,NA,NA,NA,,NA,NA,,,
138,352,347,Dakota Superintendency ,Mandans,,,1866,400,NA,NA,NA,NA,NA,NA,,NA,NA,,,
139,NA,347,Dakota Superintendency ,Assinaboines,,,1866,2640,NA,NA,NA,NA,NA,NA,,NA,NA,,,
140,352,348,Idaho Superintendency ,Nez Perces,,,1866,2830,10000 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
141,NA,348,Idaho Superintendency ,Coeur d'Alenes and Kootenays,,,1866,2000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
142,NA,348,Idaho Superintendency ,Boise and Bruneau Shoshones,,,1866,500,NA,NA,NA,NA,NA,NA,,NA,NA,,,
143,NA,348,Idaho Superintendency ,Kammas Prairie Shoshones,,,1866,2000,NA,NA,NA,NA,NA,NA,,NA,NA,,,
144,352,348,Montana Superintendency ,Flatheads ,,,1866,558,NA,NA,NA,NA,NA,NA,,NA,1,,,
145,352,348,Montana Superintendency ,Upper Pend d'Oreilles,,,1866,918,NA,NA,NA,NA,NA,NA,,NA,1,,,
146,352,348,Montana Superintendency ,Kootenays,,,1866,287,NA,NA,NA,NA,NA,NA,,NA,1,,,
147,NA,348,Montana Superintendency ,Blackfeet Sioux,,,1866,2450,NA,NA,NA,NA,NA,NA,,NA,NA,,,
148,NA,348,Montana Superintendency ,Piegans,,,1866,1870,NA,NA,NA,NA,NA,NA,,NA,NA,,,
