STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
MN,54944591.84951174,1880,1070,219932,1008467.8800001296,3224264
MN,54944591.84951174,1881,1889.6399999999999,202801,1010357.5200001296,3427065
MN,54944591.84951174,1882,1176.1,245647,1011533.6200001296,3672712
MN,54944591.84951174,1883,640,286239,1012173.6200001296,3958951
MN,54944591.84951174,1884,433.5,303340,1012607.1200001296,4262291
MN,54944591.84951174,1885,0,367227,1012607.1200001296,4629518
MN,54944591.84951174,1886,2051.99166667,300233,1014659.1116667995,4929751
MN,54944591.84951174,1887,418.79999999999995,276613,1015077.9116667996,5206364
MN,54944591.84951174,1888,1064.035,212678,1016141.9466667996,5419042
MN,54944591.84951174,1889,203.01333333,326127,1016344.9600001296,5745169
MN,54944591.84951174,1890,1301.8499999800001,227700,1017646.8100001096,5972869
MN,54944591.84951174,1891,0,156481,1017646.8100001096,6129350
MN,54944591.84951174,1892,0,126607,1017646.8100001096,6255957
MN,54944591.84951174,1893,0,148047,1017646.8100001096,6404004
MN,54944591.84951174,1894,160,112892,1017806.8100001096,6516896
MN,54944591.84951174,1895,1524.2599999999998,100659,1019331.0700001096,6617555
MN,54944591.84951174,1896,0,87141,1019331.0700001096,6704696
MN,54944591.84951174,1897,760,100820,1020091.0700001096,6805516
MN,54944591.84951174,1898,0,179654,1020091.0700001096,6985170
MN,54944591.84951174,1899,320,155654,1020411.0700001096,7140824
MN,54944591.84951174,1900,0,199227,1020411.0700001096,7340051
MN,54944591.84951174,1901,0,259944,1020411.0700001096,7599995
MN,54944591.84951174,1902,160,295127,1020571.0700001096,7895122
MN,54944591.84951174,1903,0,291358,1020571.0700001096,8186480
MN,54944591.84951174,1904,0,197309,1020571.0700001096,8383789
MN,54944591.84951174,1905,0,239233,1020571.0700001096,8623022
MN,54944591.84951174,1906,160,234350,1020731.0700001096,8857372
MN,54944591.84951174,1907,0,214781,1020731.0700001096,9072153
MN,54944591.84951174,1908,0,252260,1020731.0700001096,9324413
MN,54944591.84951174,1909,0,248395,1020731.0700001096,9572808
MN,54944591.84951174,1910,0,199518,1020731.0700001096,9772326
MN,54944591.84951174,1911,0,160574,1020731.0700001096,9932900
MN,54944591.84951174,1912,0,65061,1020731.0700001096,9997961
MN,54944591.84951174,1913,0,71415,1020731.0700001096,10069376
MN,54944591.84951174,1914,0,58322,1020731.0700001096,10127698
MN,54944591.84951174,1915,0,41017,1020731.0700001096,10168715
MN,54944591.84951174,1916,0,35627,1020731.0700001096,10204342
MN,54944591.84951174,1917,0,43675,1020731.0700001096,10248017
MN,54944591.84951174,1918,0,28809,1020731.0700001096,10276826
MN,54944591.84951174,1919,0,34002,1020731.0700001096,10310828
MN,54944591.84951174,1920,0,26537,1020731.0700001096,10337365
MN,54944591.84951174,1921,0,13399,1020731.0700001096,10350764
MN,54944591.84951174,1922,0,10839,1020731.0700001096,10361603
MN,54944591.84951174,1923,0,5283,1020731.0700001096,10366886
MN,54944591.84951174,1924,0,5286,1020731.0700001096,10372172
MN,54944591.84951174,1925,0,5508,1020731.0700001096,10377680
MN,54944591.84951174,1926,0,2205,1020731.0700001096,10379885
MN,54944591.84951174,1927,0,1700,1020731.0700001096,10381585
MN,54944591.84951174,1928,0,1724,1020731.0700001096,10383309
MN,54944591.84951174,1929,0,1373,1020731.0700001096,10384682
MN,54944591.84951174,1930,0,840,1020731.0700001096,10385522
MO,44643614.482677914,1862,0,0,0,0
MO,44643614.482677914,1863,0,0,0,0
MO,44643614.482677914,1864,0,0,0,0
